,Unnamed: 0,type,review,label,file
96607,96607,train,We could only stick this one out for about 45 mins. Travolta should buy the rights and burn it. The owner of the movie rental store said she couldn't watch it either. The characters were all right off the Jerry Springer show.,unsup,6948_0.txt
91955,91955,train,"This is an absolute hoot. It is one of the worst films I have ever seen. The joy of seeing this film, other than the unintentionally hilarious dramatic moments, is to get a clear picture of the type of world that director Todd Haynes envisioned in ""Far From Heaven.""<br /><br />Barbara Stanwyck, while possessing a hot figure for a 50 year old woman (at the time), was definitely pushing the borders with her looks. It is fascinating that studio heads were still giving her ""leading roles"" -- but then, once you hear the lines she had to say, you'll come to the conclusion that she must've owed somebody something, because this film is absolutely atrocious. My own poor mother, who's dying of cancer, had enough energy to say, ""This one stinks!""<br /><br />Probably the most exciting thing about this movie is the big kiss between Barbara and Raymond Burr, both who were purported to be gay. It's just exciting to imagine them thinking, ""Well, since we are getting paid for this, let's make it look good!"" Poor Sterling Hayden is saddled with the worst lines, all of them sounding like they were written for a woman starring in a bad B-movie from the 1950s... which is oddly what this is.<br /><br />It is, I suppose, interesting to note that ""Kathy"" (Barbara's character, and the same name of the character that Julianne Moore played in ""Far From Heaven"") was not content to sit at home and bake pies. She was a rabble-rouser and was going to stir up trouble no matter what. In one hysterically funny scene, Kathy is a prisoner in her own home when her husband and ""the guys"" are playing cards on one side of the house, and their wives, ""the girls"" are gossiping on the other side of the house, going on and on and on and on about ""cheese and olives."" Kathy, rightfully so, rushes off to the bathroom saying, ""I'm sick!"" Ditto, girlfriend! <br /><br />Raymond Burr was a wonderful Perry Mason, but in this film he's deadly. But then, so is everybody else.<br /><br />It also seems strange that not a single couple (of course all ""heterosexual"") in this film has a child. Everyone is somewhere between 35-50 and no one has a child? I don't believe it.<br /><br />More fun can be had just by viewing a few vintage shots of Los Angeles in its '50s heyday.<br /><br />The script, as I mentioned before, is absolutely deadly, a laugh fest almost from start to end. Barbara desperately tries to rhythmically alter her lines to imbue them with deeper meaning, but when she's stuck with stupid, gushy conversation like, ""Oh Bill darling!"" it doesn't matter what she tries to do to dress this garbage up. It stinks.<br /><br />Again, it's a blast just to sit through and laugh at, and even if you get up 10 times to use the facilities or grab some cold pizza, you won't have missed a thing. An absolute must for dateless Fridays when you don't care about being fat and lonely.",unsup,47761_0.txt
19887,19887,test,"itÂ´s a movie to see on tv and only once.. i mean, itÂ´s good, but itÂ´s a little too lengthy and the plot is so well-known, it isnÂ´t very original but it isnÂ´t boring. the best thing of the movie are the performances, natalie portman and susan sarandon are great actress and in this movie they have done a great job. i give it a 7.",pos,539_7.txt
28967,28967,train,"this movie is made for Asian/Chinese market, targeting particularly fans of Jay Chou, one of the biggest music star in Asian.<br /><br />Jay Chou is a very talented song writer/singer. He is mediocre as an actor, although he did appear in several big-budget productions (""initial D"", ""Curse of the Golden Flower ""). Amazingly, he won both golden horse (taiwan) and Hong Kong film awards for ""initial D"".<br /><br />The supporting cast are very well chosen, which appeals basically everyone from China. The cast including many famous movie/TV actors, singers, even sport commentator (Huang Jianxiang from China). However, they were not given enough time to show their talents.<br /><br />The biggest mistake is that Chu took over both director and writer position. He has a reputation of making shallow and brainless movies based off non-coherent scripts. With his poor directing and lam story, the whole talented cast, fancy vision effects and tones of production money was wasted.<br /><br />However, the terrible movie successfully cashed in over 10 million dollars, maybe even more in Asian, which made this one of the biggest box office success in Asian.<br /><br />The bottom line is: you can watch this movie only if you want to see how money and talents are wasted, or if you are simply accompanying your kids who are fans of Jay Chou.",neg,2320_1.txt
94680,94680,train,"This is one of Goldie's finest. She played a woman who marries a man and has a perfect marriage for many years. Then one day she discovers something unusual about him. Very tense ending, I was on the edge of my seat. Watch this one alone, in a dark room, late at night.",unsup,5212_0.txt
79475,79475,train,"The high rating @IMDB made me watch that movie - and I am *very* disappointed. It is shallow, plain and predictable! While one must assume that this was intended to be that way, the movie still turned the corner towards ""cheesy"" way too hard. Really... waaaaaayyyy too hard. Actually, my brain felt violated and offended.<br /><br />However, there are two person I enjoyed somehow: Old Joe (Andy Griffith) and Shelly herself (as ""Dawn"", especially when she confessed about her new boyfriend). ""Earl"" was another character more interesting (I like Jeremy Sisto).<br /><br />RÃ©sumÃ© : maybe one should be a woman to enjoy that movie?",unsup,36529_0.txt
74714,74714,train,"Yeah, the movie stinks. Yeah the plot (such as it is) is a waste of time and the 'characters' act incredibly stupidly and obliviously, but ""the only known face..."" What are you talking about?<br /><br />Anyone who doesn't know Corbin Bernsen, Stephen J Cannell and Robert Conrad really doesn't have any business judging a B Movie!<br /><br />Heck, half the fun in films like this is watching ""big"" names embarrass themselves!<br /><br />In short, don't go for the film - go for the joy of watching semi-respectable actors struggle to extend their already far-too-long careers!",unsup,32243_0.txt
3591,3591,test,"I really like Kinski he is a great actor. I've seen this movie because I've heard that there are autobiographic aspects in this movie.<br /><br />The film is full of symbols like a piano sinking in a river or strange shadow-pictures at the walls. Then the narrator always says abstract sentences like: ""A kid sells fortune, but her box is empty now."" This is really disturbing and wasn't really necessary, because everyone understands what this movie is all about. The movie shows how Kinski's character treated woman, and how he kept them under control. If there are really some aspects of Kinski's life in this story - then he really was an swine. So there is no need to watch this movie, unless if you want to see Kinski naked or if you like sick trash movies to laugh about.",neg,1983_3.txt
93448,93448,train,"This film is the worst film of the year so far.<br /><br />The whole film seems rather disjointed and is unbelievably dull.<br /><br />It consists of bad written script and broken storyline, poor soundtrack, too many bad quality special effects, humble acting.<br /><br />I have read the book after watching a movie and got some clues about the original plot. Book is excellent, but it does not make a film better. I guess film only was based on the book, and truly fails to deliver any storyline. <br /><br />I would say most of you could skip ""Nochnoj dozor"" and save your time and money. <br /><br />So Bad It Hurts!",unsup,49104_0.txt
87015,87015,train,"Not a bad movie, but since it is made by Americans, there is a lot of USA born Chinese trying to speak Chinese without much success, and it turns out to be goobledegook. Should have hired some real chinese to do the speaking parts.<br /><br />John Wayne's reference to ""baby"" makes me want to puke, it is cheesy to the extreme. Some great actions by the steam boat, unfortunately not by actors. I will not watch this film again, once is enough.",unsup,43314_0.txt
94399,94399,train,"Simon Cowell manages to try another spin-off of ""American Idol"", despite of the failure with his previous attempt ""American Inventor"".<br /><br />It follows the same guidelines than ""American Idol"", you know, a host the three stereotypical judges, an obedient crowd for audience, and some entertaining contestants plus many more that are shown only for their humiliation on national TV, that is actually what most of the public seems to dig anyway. Even more, giving it is an open talent contest, half of them are singers what gives Cowell a chance for a shot closer to the ""Idol"" success.<br /><br />Regis Philbin does his job, he always manages to look as a nice guy, I don't think he contributes rising the show interest but is not responsible for the poor overcome either.<br /><br />Moving on. I may concede that the Idol's judge model settled what seems to be the Holly Grail of reality-show contests, but that's not magic. The chosen court must have some charisma. In the Idol, it was this Cowell's quality that brought attention to the show. But did he manage to put together an attractive set of judges prescinding of himself? Let's see.<br /><br />Let me start by David Hasselhoff just because he is the only I know. At least when watching Hasselhoff a couple of generations will feel some kind of comfort reminding ""Knight rider"" and ""Baywatch"". And it guarantees the show will be sold in Germany too.<br /><br />Piers Morgan, who I don't have any clue who he is, takes the role of the wise and balanced judge completing his stereotype with a British accent that in America seems -wrongfully- to be synonymous of a higher intellect.<br /><br />Finally Brandy. No, they are not drinking any alcoholic liquor, but may be you'll need it to digest why this completely unknown -or at least very well forgotten- singer (that is how they introduced her) is the judge that completes the trilogy. When Hasselhoff and Morgan are somehow appealing, Brandy is some kind of hyper-kinetic and overexcited Tasmanian Devil sat in the middle. At some point I felt bad for Morgan whose face seems Brandy preferred target for the uncontrollable spin of her arms and her annoying affection demonstrations.<br /><br />In his modesty Cowell doesn't realize that the success of his shows is linked to him being in front the cameras rather than behind them. If Simon were in this show not even the contestants would be necessary to nail its success. But this is not the case. Clearly.",unsup,49961_0.txt
2319,2319,test,"The Governess was, by far, a very pitiful film. I do not use this word loosely, as it honestly was a poor excuse for a movie. I finished watching this feature with only one word on my mind Â? ""why""? Honestly, you could use this question at the end of every scene of this film and it would seem like it fit. There were so many inconsistencies that lead to a lack of development (both in the story and in the characters) which ultimately lead to a very confusing film with actors walking through the motions instead of giving any explanation. Scenes would occur with no foreshadowing, understanding, or drive to a complete ending. It was as if I was watching several different ideas thrown together without really any resolution. Actors were setting events in motion that did not seem to fit their character or really were resolved. This was my biggest issue with this film. The complete and utter lack of structure to this film brought all specks of foundation crumbling down with a genuine ""ripple-effect"" being felt throughout the rest of the film as a result.<br /><br />Let me explain myself further on this lack of consistency throughout the film. I would liken this film to a bowl of lumpy oatmeal that had a zebra in it. It made no sense nor was there any logic behind it all. Minnie Driver was the worst culprit of this deed. Her character's lines were drawn very fuzzy and nearly transparent. She would do things like talk about sex all the time with her sister, but yet she seemed very open to sexual experiences all the time. She has her first moment of passion in this film, and there is no pain or excitement. It nonchalantly happens, and this just didn't seem to fit the original conversation that we had at the beginning of the film with Rosina and her sister. She is a very intelligent woman that accidentally finds a solution to Wilkinson's problem and suddenly wants full rights to his invention? That was confusing and completely random. Is it not obvious to anyone else that her teaching methods were non-existent. Anyone in their right mind could see that she wasn't teaching Cavendish's daughter anything. The sudden and awkward relationship that randomly forms between Driver and Jonathan Rhys-Meyers nearly had me laughing out loud. I thought maybe I had discovered some magic in this film as Rhys-Meyers literally ""poofed"" into the scene and suddenly caused some unneeded drama. It felt that the director (or writer) was thinking that the original story was going nowhere fast, so by adding this random character we may be able to advance the plot a bit (or confuse the lesser film enthusiasts). Well, it didn't fool me, I saw that he was nearly a ""cut-and-paste"" character used to strengthen an already weakened story. Don't get me started on the ending, which had no consistency to the rest of the story. Again using the ""cut-and-paste"" method, the writer of this film needed a way to just end the story, and this was the only solution they could arrive to. It is sad when actors are forced to do things out of character Â? but I guess that is the name of the game in Hollywood. Fix until completely broken, or at least salvageable.<br /><br />The remainder of the story was unexciting dribble. There were maybe a handful of neat cinematography moments where you could see that there was one sliver of creativity trying to peak through coupled with some bars of decent, period piece music, but nothing to write to Grandma about. More family structure with some stronger introductions could have strengthened this film a bit more, but as I stated before, by leaving open-ended scenes just lying around the entire film, you will experience a crack in your foundation. What may seem like a sturdy story, will eventually wear down over time, and by the end of this film I felt that the house was crumbling down on top of me. Wilkinson plays his normal self in this film, while Driver apparently did not want to get naked, but everyone else had too (I will have to see a doctor after those images were burned into my eyes Â? eeewwww). Also, she wore the same dress everyday. That was disgusting and I could smell her through the television. Sex and dirty laundry. Now there is a great film for you! There just seemed to be some potential floating around here, but instead it was just rubbish. Nothing was answered, questions seemed to fall like snow in Alaska, and mediocrity seemed to reign supreme.<br /><br />Overall, this could have been a decent film that combined the powerful themes of science and love together, but instead it was just pitiful. I cannot stress enough the disturbing fact that characters were going through motions without any sort of pre-explanation. I don't need cinematic moments handed to me like a child, but something should have been done to build a foundation. Just remember the oatmeal with a zebra analogy that I used. If you were as confused about that as I was, then you will completely understand the film The Governess, while if you prefer zebras in your oatmeal Â? then, maybe this film is for you!<br /><br />Grade: * out of *****",neg,12088_2.txt
31659,31659,train,"Worst DCOM I have seen. Ever. Well, maybe not as bad as Smart House. This was just bad. The acting and story was fine, but the effects SUCKED!<br /><br />They were so fake! The only good fight scene was between the brother and Shen. That was probably the only scene in which I was excited.<br /><br />Overall, I found this movie very boring and the film kind of ended suddenly. <br /><br />I will give it a four for Brenda Song who is a very funny actress and that one fight scene.<br /><br />4/10",neg,4744_4.txt
36855,36855,train,"Follow-up to 1973's far better ""Cleopatra Jones"" has statuesque black actress Tamara Dobson returning to her signature role as chic, super-tough narcotics agent, here busting a heroin ring in Hong Kong. Cross-pollination of blaxploitation action-flick and kung-fu B-movie is fun at the outset but eventually flags. The shoot-out finale is right off the assembly-line, and Dobson herself seems less energetic than before (she's still sexy, and she puts a unique spin on her comically-stilted dialogue, but these surroundings may have been too much of one thing for her--she's jaded). Stella Stevens plays the villainess this time; she's good, but can't match Shelley Winters in the predecessor. ** from ****",neg,9420_4.txt
50412,50412,train,"Though I don't really consider it a horror film, if you are one of many who happens to be afraid of rodents this film will terrify you. Hell, even you you don't mind rodents it might freak you out a bit. Peter Weller is always a great actor, and he stars in this film as Bart, a man who wages an all out war with one hell of an angry rat while the rest of his life begins to fall apart because of it. He is the only leading actor in this film, and he carries it almost completely on his own. His dinner table speech about the dangers of rats was both hilarious and a bit unnerving at the same time. I liked how this film was almost self-mocking in parts, though it always kept a straight face about it and never went to far. The rat's point of view shots really show this. The scenes with the rat were all very well done, congrats to whoever trained the rat. The plot was very original, and I liked how smart the rat was. Always a couple steps ahead of poor ol' Bart. I think I jumped a foot when the damn thing came out of the toilet. Last but not least, that was one heck of a bat he made near the end! Overall, this is a great film. Admittedly it's a bit cheesy in places, but it knows what it is and handles itself very well. Highly recommended.<br /><br />8.5/10",unsup,10371_0.txt
31505,31505,train,"This movie is written by Charlie Higson, who has before this done the ""legendary"" Fast Show and his own show based on one of Fast Show's characters (Tony the car sales man). He's also written James Bond books for kids.<br /><br />Actually I've seen before this only Gordon's movies that are based on Lovecraft's stories, and every one of those is marvelous. Here Gordon tries to do something different. The style is totally ""contemporary"", which means shaky camera, fast and strange cutting, cool chillout music in the background. It works quite well here, I guess, but it's still pointless and cheap. It makes me often think of the cameraman who's shaking his dv-camera in front of the actors/actresses and try to make stylish moves in the pictures (hoping that something tolerable would come out of it). The casting is good, and there is a whole atmosphere, which is the result of good directing. I think the main character, the ""zero"" young guy, is quite interesting in his ""zeroness"". The fat guy is also good. And the guy who looks like Alec Baldwin, but is not him. But pretty soon after the beginning the movie turns out to be something not-so-interesting: In this case I mean an endless line of scenes of sadism and sickness. There is not much humanity in this film/story: It's totally pessimistic, and every person in this movie is disgusting and hopeless, or soon dead. Needless to say that there is no humor either. It's a 1'40 long vomit without no relief in any moment. Anyway, Gordon remains to me one of the most interesting movie makers that are active today, and I think of this movie as an experiment, and as a failure in that. Everyone has to experience getting lost sometimes, just to learn and to find their way again. This might be Gordon's most uninteresting and empty work.",neg,4605_2.txt
83902,83902,train,"A sex scene using Pink Floyd's ""Shine on you crazy diamond"" as soundtrack is one of the very few original things in this movie. But apart from that, little is to be remembered from this mediocre soft porn film.<br /><br />Joe Dalessandro and Sylvia Krystel were top sex symbols at the time ""La marge"" was made; the former still had the infamous Warhol trilogy stamped all over him , while the latter had found stardom a couple of years earlier with the legendary ""Emanuelle"". I guess it was inevitable that the ""talents"" of these two were combined in one movie, possibly having their strip-in-every-other-scene fame in mind. And while Krystel seems to be laid back in a territory she is familiar with, Dalessandro is obviously nervous at times, the reason probably being that he CANNOT speak french! Almost each time he speaks, the camera avoids shooting his face, making us seriously think if it is his voice that is heard!<br /><br />Too bad that such an interesting storyline is wasted on consequent, vaguely linked to each other, sex scenes.<br /><br />3",unsup,40512_0.txt
55265,55265,train,"This is one great romantic film. Joan Fontaine and Joseph Cotten who are presumed to be passengers on a ill-fated flight and, though listed as among the dead, are actually alive. They fall in love and spend time together in a villa in Florence. The wonderful ""September Song"" weaves its magic throughout the film. Joan Fontaine is vivacious, luminous and charming in her role as Manina Stewart and Joseph Cotten is great as David Lawrence. This is one of my all-time favorite films. It is available on video.",unsup,1473_0.txt
89097,89097,train,"Having recently read a book called ""The Game"" by Neil Strauss, where he makes numerous references to Top Gun, Magnolia and Jerry Maguire, I decided to watch this movie. It sure is difficult to imagine that a movie could be so polar. Without a doubt, the movie was ridden with bad acting.<br /><br />Tom Cruise, though not terribly bad in his portrayal of Lt. Pete ""Maverick"" Mitchell, was still largely amateurish. Kelly McGillis (Charlotte ""Charlie"" Blackwood) put on a SPECTACULARLY terrible performance through the entire 110-odd minutes. <br /><br />Moreover, the cinematography was quite poor, and video editing was quite appalling. And don't even get me started on characterization and plot. <br /><br />But diametrically, the movie was a great treat too. The music and original score was terrific (rightfully earning an Academy Award) The visual effects were amazing and Val Kilmer was his usual charismatic and professional self.<br /><br />Overall, the movie would have been worse than trash without the awesome dogfights and the great audio.",unsup,45189_0.txt
5539,5539,test,"Feeling Minnesota, directed by Steven Baigelmann, and starring Keanu Reeves, Cameron Diaz and Vincent D'Onofrio: The strained relationship between two brothers, Sam (D'Onofrio) and Jjaks (Reeves), is pushed to breaking point when Jjaks arrives at Sam's wedding and makes off with the bride, Freddie (Diaz), a former stripper, marrying Sam to repay a gambling debt owed to night-club owner Red (Lindo). Baigelman's writing and directing debut is a frustrating mess, full of hateful characters and lacking coherence. Putting Keanu and Diaz in the same movie should at least provide some eye candy, but Baigelman even cops out on that score, grudging his actors up with little positive effect. Very poor.",neg,3736_2.txt
77541,77541,train,"Buddy Hackett narrated this crap ""once upon a snowflake"".... pffft!<br /><br />The greedy people in town are in the dumps because their supply of 'ice-money' is melting and the Russian dictator down the block wants the hottest girl in the village to be his chick... or something like that. Calling Jack Frost to restore a cold weather climate to anywhere on the globe.<br /><br />Totally charmless holiday special with a sour plot which involves coins, taxes, going broke, and the 'flake-flipping snow gypsies'.... huh?<br /><br />Produced by Rankin/Bass, though they've done much better.",unsup,34789_0.txt
36277,36277,train,"I liked the first movie, but this is a textbook example of a sequel that would have been better of left on the drawing board. The general idea in the first movie was, if not great, then at least very interesting. This sequel tries to build upon the idea and the characters from the first movie, and though Christopher Walken is still good as Gabriel, the whole idea suddenly gets a bit ridiculous. If you haven't seen any of these movies, then get the first movie and forget about the sequels, they can take away all of the joy from the original.",neg,8900_4.txt
18245,18245,test,"Admittedly, before seeing House of Wax, I assumed it would simply be a second tier low quality teen slasher film following in the footsteps of such movies as The Darkness or Amityville Horror. After catching an advanced showing at my college campus, I can honestly say that the people at Dark Castle have done an excellent job with the task of making a slasher. <br /><br />Starting with the usual staples of a teenage horror film such as the small group of friends departing on a road trip, coming across an odd detour taking them through country back-roads, meeting creepy locals, after the slow but mandatory back-story this movie really reaches a fast clip. Paris Hilton appears in this film as many already know, but I really have to give it to her for her ballsy performance. Clearly her acting wasn't worth an Oscar, but the filmmakers use her appearance to its fullest by squeezing two blatant satires of her, let's just say, less noble media appearance into this film. Ms. Hilton also claims the title for the greatest death scene in the movie, and not simply because it was her death scene.<br /><br />This movie is full to the brim with jumpy moments and cheap scares, but Jaume Serra has definitely created quality suspense and tension between the characters. The causes for the horror are in part based on making the audience care for the characters, which we do. By making the usual buildup followed with a loud noise and jerked camera some other scary moments. These standard movie techniques adopted from many movies past are almost perfected with this film, and provide many good scares. In fact there isn't a slow moment after they get to the small town where the dreaded House of Wax museum is. <br /><br />This film owes a lot to many previous movies of this and other genres, though I'm not too sure how much came from the original 1953 movie of the same title. References to such movies as both Texas Chainsaw Masacres, Saw, and even Titanic, (see Paris Hilton's big death scene and you'll know what I mean) are common, but in the end the payoff will leave you scared and fulfilled if you are looking for a good scare with a few laughs. Not bad.",pos,3921_8.txt
44506,44506,train,"Radio was not a 24 hour 7days a week happening when I grew up in the 1930s England, so Children's Hour was a treat for me when we had batteries and an accumulator to spare for the power. The few programmes I heard therefore made a great impression on my young mind, and the 3 that I recall still are ""Toytown"", one about all the animals at the Zoo, and --- Grey Owl, talking about the animals he knew, which he called his ""brothers"". It was only in recently that I learnt that Grey Owl wasn't a genuine ""Indian"", but the tribute paid by the Sioux Chief makes great sense to me ""A man becomes what he dreams"". Would that we could all dream as world changing and beneficial as Archie Grey Owl Belaney. Would that a new Grey Owl could influence world leaders to clean up the environment.",pos,5056_8.txt
